dataset,eps_fraction,eps_abs,min_samples,auto_eps,true_contam,auc_roc,auc_roc_std,auc_pr,auc_pr_std,f1,f1_std
arrhythmia,2.0,46.1592,3,23.0796,0.14601769911504425,0.7683569178074674,0.07564269834681583,0.4253827926970457,0.13242951745187825,0.026666666666666665,0.05333333333333333
arrhythmia,2.0,46.1592,5,23.0796,0.14601769911504425,0.7683569178074674,0.07564269834681583,0.4253827926970457,0.13242951745187825,0.026666666666666665,0.05333333333333333
arrhythmia,2.0,46.1592,7,23.0796,0.14601769911504425,0.7683569178074674,0.07564269834681583,0.4253827926970457,0.13242951745187825,0.026666666666666665,0.05333333333333333
arrhythmia,2.0,46.1592,10,23.0796,0.14601769911504425,0.7683569178074674,0.07564269834681583,0.4253827926970457,0.13242951745187825,0.026666666666666665,0.05333333333333333
arrhythmia,2.0,46.1592,15,23.0796,0.14601769911504425,0.7683569178074674,0.07564269834681583,0.4253827926970457,0.13242951745187825,0.026666666666666665,0.05333333333333333
arrhythmia,2.0,46.1592,20,23.0796,0.14601769911504425,0.7683569178074674,0.07564269834681583,0.4253827926970457,0.13242951745187825,0.026666666666666665,0.05333333333333333
arrhythmia,3.0,69.2388,2,23.0796,0.14601769911504425,0.7683569178074674,0.07564269834681583,0.4253827926970457,0.13242951745187825,0.0,0.0
arrhythmia,3.0,69.2388,3,23.0796,0.14601769911504425,0.7683569178074674,0.07564269834681583,0.4253827926970457,0.13242951745187825,0.0,0.0
arrhythmia,3.0,69.2388,5,23.0796,0.14601769911504425,0.7683569178074674,0.07564269834681583,0.4253827926970457,0.13242951745187825,0.0,0.0
arrhythmia,3.0,69.2388,7,23.0796,0.14601769911504425,0.7683569178074674,0.07564269834681583,0.4253827926970457,0.13242951745187825,0.0,0.0
arrhythmia,3.0,69.2388,10,23.0796,0.14601769911504425,0.7683569178074674,0.07564269834681583,0.4253827926970457,0.13242951745187825,0.0,0.0
arrhythmia,3.0,69.2388,15,23.0796,0.14601769911504425,0.7683569178074674,0.07564269834681583,0.4253827926970457,0.13242951745187825,0.0,0.0
arrhythmia,3.0,69.2388,20,23.0796,0.14601769911504425,0.7683569178074674,0.07564269834681583,0.4253827926970457,0.13242951745187825,0.0,0.0
breastw,0.25,0.5616,2,2.2463,0.34992679355783307,0.9889050603452647,0.00841163040514927,0.9737570321600513,0.025464202756836446,0.8706922435362803,0.008648451809474815
breastw,0.25,0.5616,3,2.2463,0.34992679355783307,0.9941108581632727,0.002215331988978437,0.9890234484628119,0.0041979899122486595,0.8643734643734644,0.005781008813701331
breastw,0.25,0.5616,5,2.2463,0.34992679355783307,0.9937316741102151,0.002334355237623179,0.9881002402098324,0.004502697399990884,0.8537153695048432,0.014980464411251388
breastw,0.25,0.5616,7,2.2463,0.34992679355783307,0.9941576746426735,0.002069859426593967,0.9889907853516817,0.0038748960911691053,0.8417415984269493,0.01640283858220809
breastw,0.25,0.5616,10,2.2463,0.34992679355783307,0.9941108581632727,0.00212442343414974,0.9889290600370714,0.004000171783124087,0.8402511466337493,0.015957455460258587
breastw,0.25,0.5616,15,2.2463,0.34992679355783307,0.9942060192228283,0.0022111768759727826,0.989162594405696,0.004159082120165506,0.8315417135321723,0.01769452973441012
